,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,aulia2199,in,2020-10-02 23:55:14,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
1,anton_harjo,in,2020-10-02 23:45:55,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…","Cilangkap, Jakarta - Indonesia"
2,suitoslamet,in,2020-10-02 23:42:18,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
3,dimasrahmat9,in,2020-10-02 23:25:09,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
4,bennydjuwanda,in,2020-10-02 23:20:29,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",
5,Daniel78911900,in,2020-10-02 23:19:49,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…","East Java, Indonesia"
6,Isni_J_Embut,in,2020-10-02 23:09:43,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
7,rio_ayong,in,2020-10-02 23:06:25,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",
8,hannysilvie,in,2020-10-02 23:01:28,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",Batam
9,RiMenujuMadani,in,2020-10-02 22:59:53,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",Indonesia Raya
10,redywanjames,in,2020-10-02 22:59:14,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",Indonesia
11,Widodo2017,in,2020-10-02 22:53:39,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",Bogor
12,rio_ayong,in,2020-10-02 22:48:33,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
13,DavidRuslie8,in,2020-10-02 22:48:13,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…","Surakarta, Jawa Tengah"
14,miladjazuli1,in,2020-10-02 22:45:22,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",surabaya
15,jhonknow,in,2020-10-02 22:29:15,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…","Semarang Tengah, Indonesia"
16,ArdianZA__,in,2020-10-02 22:20:30,0,57,"RT @AthayaHayya: Kelurahan Sei Mati, Kecamatan Medan Mainum, Kota Medan sdh menjadi langganan banjir sejak puluhan tahun lalu. 

Warga berh…","Bandung, Jawa Barat"
17,DEA44981908,in,2020-10-02 22:19:08,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
18,Tomsb32,in,2020-10-02 22:09:09,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
19,Khoir_Muhammad,in,2020-10-02 21:49:02,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",Indonesia
20,marojahanpanja2,in,2020-10-02 20:42:22,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",
21,anton61093127,in,2020-10-02 20:20:47,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
22,ronindrawan,in,2020-10-02 20:16:02,0,42,"RT @LOVE_AG4EVER: Makin keren ajah neh ayah Naen, Buya  atau buaya...????🤪🤪😂😂
Ayah Naen Bela  Akhyar Nasution
Aku bela Anak Muda cerdas Ins…",jakarta
23,ronindrawan,in,2020-10-02 19:59:33,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",jakarta
24,Jj_YuJaa,in,2020-10-02 19:47:15,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…","Jawa Barat, Indonesia"
25,KisromiK,in,2020-10-02 19:41:28,0,344,"RT @Dennysiregar7: Wkwkwkw si @ustadtengkuzul bela Akhyar. Pake gelar Buya segala lagi 😂😂

Fixed ! Gua bela Bobi Nasution 😄😄😄 https://t.co/…",
