,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,GoSumutdotcom,in,2020-10-16 12:35:33,0,0,"Biayai Sendiri, 6 Ribu Warga Pakpak di Medan Siap Menangkan Akhyar-Salman https://t.co/KDA6aOXhUk","Medan Kota, Indonesia"
1,GalehJati5,in,2020-10-16 11:27:55,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…","Yogyakarta, Indonesia"
2,Je_Ly,in,2020-10-16 11:22:25,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",Indonesia
3,03__nakula,in,2020-10-16 10:54:59,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
4,ayupuspawati12,in,2020-10-16 10:49:28,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…","DKI Jakarta, Indonesia"
5,LaskarSakti,in,2020-10-16 10:41:14,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
6,AsritaDhara,in,2020-10-16 10:29:17,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
7,Goddess_ofNight,in,2020-10-16 10:29:11,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",Mansion of The Night
8,Jelli_cent,in,2020-10-16 10:25:15,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
9,guainjr,in,2020-10-16 10:24:38,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
10,RiuRizkiUtomo_,in,2020-10-16 10:19:34,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
11,GoSumutdotcom,in,2020-10-16 10:17:04,0,0,Faktor Ini yang Buat Anak Batubara di Medan Komit Dukung Akhyar - Salman https://t.co/Loy048ZHvk,"Medan Kota, Indonesia"
12,kuda_trojan,in,2020-10-16 09:55:59,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…","Central Java, Indonesia"
13,cak_sys,in,2020-10-16 09:51:54,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…","Kota Surabaya, Jawa Timur"
14,RinjaniJB,in,2020-10-16 09:45:39,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",Indonesia
15,Laskarpiningit1,in,2020-10-16 09:44:01,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",Indonesia
16,LavanaSweet__,in,2020-10-16 09:41:04,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",
17,Gerandoong,in,2020-10-16 09:29:55,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…",Indonesia
18,KelianBanjar_GK,in,2020-10-16 09:28:31,0,19,"RT @al_k4tiri: Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor 2 yang je…","Denpasar, Bali"
19,WaspadaOnline,in,2020-10-16 09:15:45,0,0,Anak Batubara Komit Dukung Sosok Berpengalaman Akhyar-Salman https://t.co/nL11f7eWMr,Medan
20,al_k4tiri,in,2020-10-16 09:15:00,16,19,"Akhyar Nasution mengaku tidak mau berjanji muluk kepada masyarakat.

Lha iya jelas janji hanya omdo!!!
pilih nomor… https://t.co/Zc8CwVxOXF",indonesia
21,WaspadaOnline,in,2020-10-15 16:58:58,1,0,Akhyar-Salman Silaturahmi dan Santuni Anak Yatim di Yayasan Wakaf Darul Yatim Mardhotillah https://t.co/18GbjALOTY,Medan
22,GoSumutdotcom,in,2020-10-15 16:28:03,0,0,Akhyar-Salman Diingatkan Warga Untuk Perkuat Saksi di TPS https://t.co/lRW7MKmwGE,"Medan Kota, Indonesia"
23,GoSumutdotcom,in,2020-10-15 15:47:33,0,0,Relawan 01 Berjuang Tanpa Batas Bersama Akhyar - Salman https://t.co/lpU0UaoVwJ,"Medan Kota, Indonesia"
24,PksPersada,in,2020-10-15 08:16:07,1,1,"Sosok Pemimpin ada pada  ustadz  Salman Alfarisi. 
Gimana enggak klepek-klepek nih emak-emak lihat peran beliau jad… https://t.co/1ww6hVOkaL",
25,GoSumutdotcom,in,2020-10-15 05:06:01,0,1,RT @GoSumutdotcom: Nurul Akhyar Ajak Emak-emak Dukung Perjuangan Akhyar-Salman https://t.co/jg8c1fuyRC,"Medan Kota, Indonesia"
26,GoSumutdotcom,in,2020-10-15 04:58:32,0,1,RT @GoSumutdotcom: GSPI Tegaskan Kemenangan untuk Akhyar - Salman https://t.co/13rv6rIAx4,"Medan Kota, Indonesia"
27,mderial,in,2020-10-14 14:49:43,0,2,"RT @IndoPolls: Survei Pilkada Wali Kota Medan:

Akhyar Nasution-Salman Alfarisi: 41,25%

Bobby Nasution-Aulia Rachman: 33,75%

Tidak tahu:…",
28,PksPersada,in,2020-10-14 14:26:49,1,1,"Skill ustadz Salman yang belum banyak orang tahu. Mantap x memang, ada imbang?

#peesada #pks #medan #pilkada2020… https://t.co/DAbDvLYuYq",
29,WaspadaOnline,in,2020-10-14 14:26:43,0,0,Posko Relawan 01 Berjuang Tanpa Batas Bersama Akhyar – Salman https://t.co/bSIDUKdxye,Medan
30,GoSumutdotcom,in,2020-10-14 12:43:31,0,1,RT @GoSumutdotcom: Aktivis Senior Lintas Etnis Dukung Akhyar-Salman https://t.co/LNCujFKdJy,"Medan Kota, Indonesia"
31,anipuspita1234,in,2020-10-14 11:16:05,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Medan Johor, Indonesia"
32,anipuspita1234,in,2020-10-14 11:16:01,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Medan Johor, Indonesia"
33,tengkuyusup2,in,2020-10-14 11:15:24,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Hamparan Perak, Indonesia"
34,tengkuyusup2,in,2020-10-14 11:15:19,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Hamparan Perak, Indonesia"
35,mastercinta12,in,2020-10-14 11:14:39,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Deli Serdang, Sumatera Utara"
36,mastercinta12,in,2020-10-14 11:14:35,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Deli Serdang, Sumatera Utara"
37,hasudun85931697,in,2020-10-14 11:12:48,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Pematang Siantar, Indonesia"
38,hasudun85931697,in,2020-10-14 11:12:43,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Pematang Siantar, Indonesia"
39,suaramerdeka5,in,2020-10-14 11:12:08,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Kota Medan, Sumatera Utara"
40,suaramerdeka5,in,2020-10-14 11:12:03,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Kota Medan, Sumatera Utara"
41,yantomedan2,in,2020-10-14 11:11:26,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Kota Medan, Sumatera Utara"
42,yantomedan2,in,2020-10-14 11:11:20,0,8,"RT @Jejak_AkhyarNas: Akhyar-Salman terus mendapatkan dukungan dari para aktivis, pemuka adat, tokoh masyarakat, pemuka agama dan para pengg…","Kota Medan, Sumatera Utara"
43,RudySitohang05,in,2020-10-14 11:10:37,0,8,"RT @Jejak_AkhyarNas: Ibu-ibu perwiritan mendoakan calon Walikota dan Wakil Walikota Medan, Ir Akhyar - Salman menjadi pemimpin yang amanah…","Kota Medan, Sumatera Utara"
