,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,Jayeng__seno,in,2020-10-16 13:58:54,0,1,RT @triomacan2000ba: Pengemudi Becak Kota Solo Deklarasikan Dukung Gibran – Teguh https://t.co/C11FqlCsFv,Indonesia
1,SoloSuara,in,2020-10-16 11:38:53,0,0,Pengemudi Becak Kota Solo Deklarasikan Dukung Gibran-Teguh https://t.co/Sylvjkgjge,"Surakarta, Jawa Tengah"
2,beritaA1,in,2020-10-16 09:59:13,0,0,"Banjir Dukungan, Gibran-Teguh Didukung Penuh Pengemudi Becak Solo https://t.co/qJehsKnTJB",Indonesia
3,triomacan2000ba,in,2020-10-16 09:58:53,0,1,Pengemudi Becak Kota Solo Deklarasikan Dukung Gibran – Teguh https://t.co/C11FqlCsFv,
4,smaliska2001,in,2020-10-16 09:58:52,0,0,Pengemudi Becak Kota Solo Deklarasikan Dukung Gibran – Teguh https://t.co/NUDGE0atPI,
5,TribunRakyat,in,2020-10-16 09:58:49,0,0,Pengemudi Becak Kota Solo Deklarasikan Dukung Gibran – Teguh https://t.co/6RY7ljyyFf,every where you known
6,newsmerahputih,in,2020-10-16 08:35:00,0,0,"Calon wali kota nomor 01, Gibran Rakabuming memastikan semua tokoh nasional yang menjadi juru kampanye (jurkam) pas… https://t.co/H5lyfH0hDX",Jakarta
7,AbellineB,in,2020-10-16 07:00:05,0,0,"Silaturahmi Dengan Warga Gendingan, Gibran - Teguh Janji Bangun Kota Solo Menjadi Kota Budaya Yang Modern. Part 4. https://t.co/Kkoo4MVgP9","Tuscany, Amsterdam, Denpasar"
8,AbellineB,in,2020-10-16 06:59:23,0,0,"Silaturahmi Dengan Warga Gendingan, Gibran - Teguh Janji Bangun Kota Solo Menjadi Kota Budaya Yang Modern. Part 3. https://t.co/xthemTN5ZA","Tuscany, Amsterdam, Denpasar"
9,AbellineB,in,2020-10-16 06:58:46,0,0,"Silaturahmi Dengan Warga Gendingan, Gibran - Teguh Janji Bangun Kota Solo Menjadi Kota Budaya Yang Modern. Part 2. https://t.co/nsLcX31LuW","Tuscany, Amsterdam, Denpasar"
10,AbellineB,in,2020-10-16 06:58:09,0,0,"Silaturahmi Dengan Warga Gendingan, Gibran - Teguh Janji Bangun Kota Solo Menjadi Kota Budaya Yang Modern. Part 1. https://t.co/WmTnXCXqyj","Tuscany, Amsterdam, Denpasar"
11,priepanggie3,in,2020-10-15 09:32:20,0,0,"Pilkada Surakarta, Gapensi siap dukung Gibran Teguh. https://t.co/K14hw6D2fn lewat @YouTube",depok
12,merdekadotcom,in,2020-10-15 05:37:33,2,1,"Gibran Sebut Sandiaga dan Semua Jurkam Akan Hadir Secara Daring: Selain Sandiaga, petinggi PDIP akan turun gunung m… https://t.co/NdrUsffvb5",Indonesia
13,tribunsolocom,in,2020-10-14 13:25:17,0,0,"Mantapkan Dukungan untuk Gibran - Teguh di Pilkada 2020, Gapensi Harap Pembangunan Solo Tumbuh Pesat https://t.co/sqRpFfkQhu","Karanganyar, Jawa Tengah"
14,soloposdotcom,in,2020-10-14 10:33:04,0,0,"Berharap Pembangunan Meningkat Pesat, Gapensi Solo Dukung Gibran-Teguh Di Pilkada 2020 https://t.co/5Rj80qju3d https://t.co/hxuBtMN8lW","Solo, central java, Indonesia"
15,Joglosemarnews,in,2020-10-14 10:05:28,0,0,"Masyarakat Jasa Konstruksi Solo Mantab Dukung Pasangan Gibran-Teguh, Ini Alasannya https://t.co/dMoZbsLT5w",surakarta
16,firmantitiz,in,2020-10-14 08:48:57,2,0,"Maju terus Gibran Rakabuming dan Teguh 🙏🏻

Oum Titiz mendukungmu 🙏🏻
Oum Titiz segan 🙏🏻
Oum Titiz hormat 🙏🏻

Seperti… https://t.co/LBeTTCTCu3",Purwokerto -Jakarta- Pamulang
17,SoloSuara,in,2020-10-14 07:36:05,0,0,Gapensi Surakarta Arahkan Dukungan kepada Gibran-Teguh https://t.co/qggrMenMOm,"Surakarta, Jawa Tengah"
18,Metro_TV,in,2020-10-14 05:59:47,2,1,"Paslon no.1 Gibran - Teguh, dan no.2 Bagyo - Suparjo akan beradu gagasan membangun Surakarta pada debat publik. Sej… https://t.co/d8pMv2fO5H","ÜT:-6.186977, 106.759125"
19,JatmikoSmile,in,2020-10-14 04:49:35,0,0,Bismillah mari kita menang bersama Gibran-Teguh #gibranforsolo https://t.co/cNYhrTYzXE,
20,BacaDiBaBe,in,2020-10-13 19:54:53,0,0,"Satpol PP Solo Turunkan APK yang Melanggar, 58 Spanduk Milik Gibran-Teguh, Bajo Hanya 3 Spanduk… https://t.co/xw5lAuBq2R",Indonesia
21,BacaDiBaBe,in,2020-10-13 19:13:17,0,0,Satpol PP Turunkan Spanduk Milik Gibran-Teguh #GibranRakabuming #TeguhPrakosa #PolisiPamongPraja #KotaSurakarta… https://t.co/DXHp3Hmb19,Indonesia
22,BeritajatengN,in,2020-10-13 12:01:10,0,0,"Hindari Klaster Baru Penyebaran Covid, Gibran -Teguh Maksimalkan Blusukan Online dan Paslon Bajo Rambah Medsos https://t.co/egiSql4YAc",
23,Abindi2,in,2020-10-13 08:59:01,0,3,RT @jawapos: Tim Gibran-Teguh: Satpol PP Jangan Sembarangan Copot APK https://t.co/HDtz19h12T,Indonesia
24,tribunsolocom,in,2020-10-13 04:04:56,0,0,"Satpol PP Solo Turunkan APK yang Melanggar, 58 Spanduk Milik Gibran-Teguh, Bajo Hanya 3 Spanduk https://t.co/xSbTgfvF8E","Karanganyar, Jawa Tengah"
25,BacaDiBaBe,in,2020-10-12 21:36:53,0,0,"Satpol PP Solo Copot Pemasangan APK yang Melanggar, Terbanyak Milik Gibran-Teguh #KecamatanPasarKliwon… https://t.co/FwUx5P4KcW",Indonesia
26,BacaDiBaBe,in,2020-10-12 21:18:52,0,0,Timses Tak Persoalkan APK Gibran-Teguh yang Melanggar Dicopot Satpol PP Solo #GibranRakabuming #PolisiPamongPraja… https://t.co/UsiRaWAI3m,Indonesia
27,mudha_satriya,in,2020-10-12 18:06:46,0,3,RT @jawapos: Tim Gibran-Teguh: Satpol PP Jangan Sembarangan Copot APK https://t.co/HDtz19h12T,"ÜT: -7.64886,111.04359"
28,jawapos,in,2020-10-12 16:56:05,3,3,Tim Gibran-Teguh: Satpol PP Jangan Sembarangan Copot APK https://t.co/HDtz19h12T,"Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
29,newsmerahputih,in,2020-10-12 16:50:00,0,0,"Dari banyaknya APK yang ditertibkan Satpol PP tersebut, terbanyak diketahui milik pasangan cawali dan cawawali nomo… https://t.co/H51qYyvzPh",Jakarta
30,GATRA_com,in,2020-10-12 16:00:05,2,0,Satpol PP Turunkan Spanduk Milik Gibran-Teguh https://t.co/WNbrd7lCXT,"Jakarta, Indonesia"
31,akunsudi,in,2020-10-12 12:01:24,0,2,"RT @soloposdotcom: Salahi Aturan, Puluhan APK Gibran-Teguh dan Bajo Diturunkan Tim Gabungan Bawaslu Solo https://t.co/ckqcbjGq3d https://t.…",
32,ismunanto2003,in,2020-10-12 11:48:01,0,2,"RT @soloposdotcom: Salahi Aturan, Puluhan APK Gibran-Teguh dan Bajo Diturunkan Tim Gabungan Bawaslu Solo https://t.co/ckqcbjGq3d https://t.…",
33,pikiran_rakyat,in,2020-10-12 11:28:31,0,0,"Satpol PP: Puluhan Spanduk APK dari Paslon 01 Gibran-Teguh Diturunkan Paksa karena Langgar Aturan
#Pilkada #Solo… https://t.co/g6zdDx12BQ","Bandung, Jawa Barat"
34,timlovers,in,2020-10-12 10:11:00,0,0,"APK Gibran-Teguh Ditertibkan Satpol PP, Begini Tanggapan Tim Pemenangan https://t.co/Vyukan3uQJ https://t.co/bwgvf7G0U6",Solo
35,InfoTimlo,in,2020-10-12 10:11:00,1,0,"APK Gibran-Teguh Ditertibkan Satpol PP, Begini Tanggapan Tim Pemenangan https://t.co/su8d3bh2NE https://t.co/C0Ql8OvJqL",Surakarta
36,kabartimlo,in,2020-10-12 10:11:00,0,0,"APK Gibran-Teguh Ditertibkan Satpol PP, Begini Tanggapan Tim Pemenangan https://t.co/QRTlFOx3zV https://t.co/OPxJX5n0qy",Solo - Surakarta - Solo Raya
37,soloposdotcom,in,2020-10-12 09:49:06,2,2,"Salahi Aturan, Puluhan APK Gibran-Teguh dan Bajo Diturunkan Tim Gabungan Bawaslu Solo https://t.co/ckqcbjGq3d https://t.co/qhdZzY5tuC","Solo, central java, Indonesia"
38,AbellineB,in,2020-10-12 07:29:34,1,0,Gibran – Teguh Mengenakan Salah Satu Baju Kampanye Rancangan Dari Relawan. Dukung Gibran – Teguh For Solo 1. https://t.co/qYzhjyAw6I,"Tuscany, Amsterdam, Denpasar"
39,kumparan,in,2020-10-12 06:13:34,1,0,"Tapi, Timses meminta Satpol PP tidak mencabut spanduk di rumah warga yang merupakan pendukung Gibran-Teguh.… https://t.co/13oSfFxew3",
40,sampahajalah,in,2020-10-12 05:35:00,0,2,RT @kumparan: Pencopotan dilakukan karena tidak sesuai ketentuan dan melanggar Perwali Nomor 2 Tahun 2009 tentang white area atau zona terl…,
41,CrushHopeless1,in,2020-10-12 05:09:19,0,2,RT @kumparan: Pencopotan dilakukan karena tidak sesuai ketentuan dan melanggar Perwali Nomor 2 Tahun 2009 tentang white area atau zona terl…,
42,kumparan,in,2020-10-12 04:52:33,5,2,Pencopotan dilakukan karena tidak sesuai ketentuan dan melanggar Perwali Nomor 2 Tahun 2009 tentang white area atau… https://t.co/qlIcgY5Ay8,
43,Joglosemarnews,in,2020-10-12 03:02:46,0,0,"Kampanye Virtual Gibran-Teguh Jadi Percontohan, KPU dan Pemkot Tekankan Ini https://t.co/Y2oC2H6XmW",surakarta
44,VIVAcoid,in,2020-10-12 02:40:49,2,0,"Untuk memenangkan Gibran dan Teguh, Partai Gerindra Solo sudah memanaskan mesin partai semenjak proses politik ini… https://t.co/mzg8qtufkO","Jakarta, Indonesia"
45,SoloSuara,in,2020-10-11 12:29:44,0,0,"Kampanye Pilwakot Solo, Pasangan Gibran-Teguh Patuhi Protokol Kesehatan https://t.co/mFCFhgzdak","Surakarta, Jawa Tengah"
46,Bodoama89989119,in,2020-10-11 10:21:31,0,0,"@PDI_Perjuangan Memang seharusnya calon pemimpin itu harus responsif terhadap warga yg membutuhkan..
Semoga menang… https://t.co/TdagaFcseh",
47,beproudlater_,in,2020-10-11 08:07:57,0,0,"@squidwardfess gibran, teguh",
48,tigapilarnews,in,2020-10-11 07:02:57,1,0,Gibran Rakabuming  dan Teguh Dipastikan Patuhi Aturan Kampanye Pilkada Solo https://t.co/HafWhomE5P,"DKI Jakarta, Indonesia"
49,sahid_abdulah,in,2020-10-11 04:01:38,0,0,"@Anna_Masue3 @ReezMuhammad Penyampaian Visi Misi dr pasangan. NO. 1 GIBRAN-Teguh.
Assalamualaikum Wr. Wb.
Ah biasan… https://t.co/sVYPLu4nVv","Kota Tangerang, Banten"
50,SoloSuara,in,2020-10-11 01:23:08,0,0,Sandiaga S Uno belum Resmi Jadi Jurkam Gibran-Teguh di Solo https://t.co/ISiNPV0gKX,"Surakarta, Jawa Tengah"
51,jawapos,in,2020-10-10 16:03:37,6,0,Belum Ada Penugasan untuk Sandiaga Uno jadi Jurkam Gibran-Teguh https://t.co/NA0nQcdh8E,"Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
52,BerlandGroup,in,2020-10-10 14:44:28,0,1,RT @mediaindonesia: Sandiaga S. Uno disebut bakal menjadi juru kampanye (jurkam) untuk pasangan Gibran Rakabuming Raka-Teguh Prakosa di Pil…,Singapore
53,krishnayana95,in,2020-10-10 14:40:50,0,5,"RT @kumparan: DPC Partai Gerindra Kota Solo menargetkan kemenangan untuk Paslon Gibran-Teguh sebesar 92%. Sebelumnya, Ketua DPC PDIP Kota S…","Bali, Indonesia"
54,mediaindonesia,in,2020-10-10 14:40:00,8,1,Sandiaga S. Uno disebut bakal menjadi juru kampanye (jurkam) untuk pasangan Gibran Rakabuming Raka-Teguh Prakosa di… https://t.co/H85I1VCNe6,Jakarta - Indonesia
55,imamyahya200780,in,2020-10-10 14:37:10,0,5,"RT @kumparan: DPC Partai Gerindra Kota Solo menargetkan kemenangan untuk Paslon Gibran-Teguh sebesar 92%. Sebelumnya, Ketua DPC PDIP Kota S…",
56,fhmihaikal,in,2020-10-10 14:32:32,0,5,"RT @kumparan: DPC Partai Gerindra Kota Solo menargetkan kemenangan untuk Paslon Gibran-Teguh sebesar 92%. Sebelumnya, Ketua DPC PDIP Kota S…",
57,__lelaamuslimin,in,2020-10-10 14:23:53,0,5,"RT @kumparan: DPC Partai Gerindra Kota Solo menargetkan kemenangan untuk Paslon Gibran-Teguh sebesar 92%. Sebelumnya, Ketua DPC PDIP Kota S…",Di Rumah Aja
58,kumparan,in,2020-10-10 14:22:04,11,5,"DPC Partai Gerindra Kota Solo menargetkan kemenangan untuk Paslon Gibran-Teguh sebesar 92%. Sebelumnya, Ketua DPC P… https://t.co/9IEKGCiEpc",
59,lawjusticeco,in,2020-10-10 11:36:24,1,0,Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo? https://t.co/3uJ6yF7Ufr,"Jakarta, Indonesia"
