,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,kopisanger,und,2020-10-23 14:02:48,0,11,RT @Bil_lubis: https://t.co/gqp5L7Lmvq,banda aceh
1,GrotJang,und,2020-10-23 13:44:19,0,11,RT @Bil_lubis: https://t.co/gqp5L7Lmvq,
2,aris_apuesto,in,2020-10-23 13:38:26,0,7,"RT @Demokrat_TV: Kepala Bapilu DPP-PD Andi Arief tegaskan, BMI (sayap PD) harus menangkan Akhyar-Salman di #PilkadaMedan.
Pilkada tolak uku…",samarinda
3,aris_apuesto,und,2020-10-23 13:26:42,0,11,RT @Bil_lubis: https://t.co/gqp5L7Lmvq,samarinda
4,aris_apuesto,und,2020-10-23 13:26:17,0,7,RT @renandabachtar: https://t.co/CTG23OlPHL,samarinda
5,heriwebcom,in,2020-10-23 13:14:32,0,0,Pengamat Sebut Kampanye Akhyar-Salman ‘Main Kasar’ https://t.co/dcIB1nivLH,Jakarta
6,Info__sumut,in,2020-10-23 13:14:31,0,0,Pengamat Sebut Kampanye Akhyar-Salman ‘Main Kasar’ https://t.co/QQp2D67JOi,
7,SartonoHutomo,in,2020-10-23 12:59:11,0,7,"RT @Demokrat_TV: Kepala Bapilu DPP-PD Andi Arief tegaskan, BMI (sayap PD) harus menangkan Akhyar-Salman di #PilkadaMedan.
Pilkada tolak uku…","Jakarta, Indonesia"
8,OfficialBMI__,in,2020-10-23 12:52:51,0,7,"RT @Demokrat_TV: Kepala Bapilu DPP-PD Andi Arief tegaskan, BMI (sayap PD) harus menangkan Akhyar-Salman di #PilkadaMedan.
Pilkada tolak uku…",Indonesia
9,OfficialBMI__,und,2020-10-23 12:52:42,0,7,RT @renandabachtar: https://t.co/CTG23OlPHL,Indonesia
10,WaspadaOnline,in,2020-10-23 12:19:37,0,0,Melayu Medan Utara Dukung Kepemimpinan Akhyar – Salman https://t.co/fd9mdgJb5l,Medan
11,OssyDermawan,und,2020-10-23 11:51:30,0,11,RT @Bil_lubis: https://t.co/gqp5L7Lmvq,Jakarta Capital Region
12,OfficialBMI__,in,2020-10-23 11:45:18,3,0,"BMI Sumut dan BMI Medan Siap Menangkan Akhyar-Salman

https://t.co/xPo7onq7Uf",Indonesia
13,OfficialBMI__,und,2020-10-23 11:44:12,0,11,RT @Bil_lubis: https://t.co/gqp5L7Lmvq,Indonesia
14,RosaRosaniasari,und,2020-10-23 11:28:09,0,7,RT @renandabachtar: https://t.co/CTG23OlPHL,
15,al_k4tiri,in,2020-10-23 11:08:55,0,25,RT @Betzlectric: Dugaan intimidasi terhadap pemilih ini menjadi perbincangan hangat di Kota Medan dimana pelaku disebut berinisial JI yang…,indonesia
16,lokal_asli,in,2020-10-23 11:07:10,0,25,RT @Betzlectric: Dugaan intimidasi terhadap pemilih ini menjadi perbincangan hangat di Kota Medan dimana pelaku disebut berinisial JI yang…,
