,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,SugiartiAhmad,in,2020-10-20 11:20:27,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
1,rembulaannn,in,2020-10-20 11:16:12,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
2,AristonoH,in,2020-10-20 11:05:41,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
3,denni_sauya,in,2020-10-20 10:30:32,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",di awan biruuu
4,denni_loyz,in,2020-10-20 09:04:14,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Tangerang, Indonesia"
5,wanarista,in,2020-10-20 07:04:50,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
6,PlatAB4NG,in,2020-10-20 06:54:02,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
7,AristonoHerawan,in,2020-10-20 06:49:59,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
8,qiunco2761,in,2020-10-20 05:33:21,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
9,Vaneeya_C,in,2020-10-20 05:17:33,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
10,LimsoNan1,in,2020-10-20 04:08:18,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Korea,Soul Selatan"
11,Eg3epXuu8Aa3R1l,in,2020-10-20 04:04:39,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Manchester United, Pyongyang"
12,Parkjoyoung6,in,2020-10-20 03:58:18,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Soul,Korea"
13,Andraklaten,in,2020-10-20 03:54:15,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
14,BoomMpy,in,2020-10-20 03:50:44,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
15,AriestaRiico_,in,2020-10-20 03:48:06,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Bhinneka Tunggal Ika 
16,SyahRungAn,in,2020-10-20 03:41:05,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
17,seruanhl,in,2020-10-20 03:40:54,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Indonesia
18,Aryprasetyo85,in,2020-10-20 03:36:51,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Jakarta Pusat, DKI Jakarta"
19,JendIsMyName__,in,2020-10-20 03:34:07,23,22,"#PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka -… https://t.co/Rz9RCsXfQI",Republik Indonesia 🇮🇩
20,radarmasnetwork,in,2020-10-19 07:19:22,0,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/XlwD19Q1sH,"Banyumas, Central Java"
21,jawapos,in,2020-10-19 06:59:26,1,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/i3fKRmjj2O,"Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
22,EBRoestono,in,2020-10-17 14:36:20,0,1,"RT @SuwandaBen: Dukungan Pasangan independen di Pilkada Solo Bagyo Wahyono dan FX Supardjo (Bajo) mulai mengalir
1. Para Purnawirawan Pejua…",Indonesia
