,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,Suryo52573671,in,2020-10-23 14:00:11,0,0,"@__SintaElvhee2_ @GamaelBen Boby Aulia memang 👍👍👌👌
#BobyAuliaYess",Jakarta Indonesia
1,Mbalelo_Ireng,in,2020-10-23 09:54:51,0,3,"RT @_Umamlik: #BobbyAuliaYess 
Medan harus kondusif
Mewujudkan kenyamanan dan iklim yg kundusif bagi masyarkat kota melalui peningkatan sup…","Samudragarh, India"
2,Sigar_Untumu,in,2020-10-23 09:52:13,0,3,"RT @_Umamlik: #BobbyAuliaYess 
Medan harus kondusif
Mewujudkan kenyamanan dan iklim yg kundusif bagi masyarkat kota melalui peningkatan sup…","Alabama, USA"
3,Mbemz_Blank,in,2020-10-23 09:50:16,0,3,"RT @_Umamlik: #BobbyAuliaYess 
Medan harus kondusif
Mewujudkan kenyamanan dan iklim yg kundusif bagi masyarkat kota melalui peningkatan sup…",Berpijak di Bumi
4,Mbalelo_Ireng,in,2020-10-23 09:25:52,0,3,"RT @Sigar_Untumu: Selama ini kota medan mash jauh dr harapan.datangny bang boby dan bang aulia mèmberikan sesuatu yg fresh 
Dengn optimis a…","Samudragarh, India"
5,Mbalelo_Ireng,in,2020-10-23 09:25:25,0,3,RT @Sigar_Untumu: Sekali lagi dr banyak komunitas yg ada di kota medan yg memberi dukungan ke paslon 02.yaitu komunitas Hao Xiong yg terdir…,"Samudragarh, India"
6,_Umamlik,in,2020-10-23 09:06:49,0,1,"RT @AnakSoleha_: Medan Tajir 
Awasss ntr salah arti 
Mksdnya 
Medan Tajir
Medan Tanpa Banjir yah
Ini program prioritas utama bang boby dan…",
7,mela_meron4,in,2020-10-23 09:06:19,0,3,"RT @Sigar_Untumu: Selama ini kota medan mash jauh dr harapan.datangny bang boby dan bang aulia mèmberikan sesuatu yg fresh 
Dengn optimis a…",
8,mela_meron4,in,2020-10-23 09:06:00,0,3,RT @Sigar_Untumu: Sekali lagi dr banyak komunitas yg ada di kota medan yg memberi dukungan ke paslon 02.yaitu komunitas Hao Xiong yg terdir…,
9,Istanapasir2,in,2020-10-23 09:05:01,0,1,"RT @AnakLangit___: Pasangan Boby-Aulia mendapatkan dukungan dari 6  komunitas Tionghoa di kota Medan.
#BobbyAuliaYess https://t.co/z7O6cLRT…",batas cakrawala🌅
10,_Umamlik,in,2020-10-23 09:05:00,0,3,"RT @Sigar_Untumu: Selama ini kota medan mash jauh dr harapan.datangny bang boby dan bang aulia mèmberikan sesuatu yg fresh 
Dengn optimis a…",
11,_Umamlik,in,2020-10-23 09:04:15,0,3,RT @Sigar_Untumu: Sekali lagi dr banyak komunitas yg ada di kota medan yg memberi dukungan ke paslon 02.yaitu komunitas Hao Xiong yg terdir…,
12,CRJ9303,in,2020-10-23 09:04:00,0,0,"#BobbyAuliaYess 
Dukungan Terus Mengalir Dari Berbagai Pihak Menjelang PILKADA 9 Des' 2020 Nanti Kepada Pasangan Bo… https://t.co/cULQAZo7T0",
13,AnakSoleha_,in,2020-10-23 09:04:00,1,1,"Medan Tajir 
Awasss ntr salah arti 
Mksdnya 
Medan Tajir
Medan Tanpa Banjir yah
Ini program prioritas utama bang bo… https://t.co/dxVznINsq0",Di gubuk derita
14,ANAK_NKRI19,in,2020-10-23 09:04:00,0,0,"#BobbyAuliaYess 
Dukungan Terus Mengalir Dari Berbagai Pihak Menjelang PILKADA 9 Des' 2020 Nanti Kepada Pasangan Bo… https://t.co/pxyzOswgeT",
15,Sigar_Untumu,in,2020-10-23 09:04:00,4,3,Sekali lagi dr banyak komunitas yg ada di kota medan yg memberi dukungan ke paslon 02.yaitu komunitas Hao Xiong yg… https://t.co/xITdDnzK1e,"Alabama, USA"
16,AnakLangit___,in,2020-10-23 09:03:06,1,1,"Pasangan Boby-Aulia mendapatkan dukungan dari 6  komunitas Tionghoa di kota Medan.
#BobbyAuliaYess https://t.co/z7O6cLRTpN","Atsugi-shi, Kanagawa"
17,Sigar_Untumu,in,2020-10-23 09:03:00,3,3,"Selama ini kota medan mash jauh dr harapan.datangny bang boby dan bang aulia mèmberikan sesuatu yg fresh 
Dengn opt… https://t.co/inWz50Ym9R","Alabama, USA"
18,_Umamlik,in,2020-10-23 09:01:05,3,3,"#BobbyAuliaYess 
Medan harus kondusif
Mewujudkan kenyamanan dan iklim yg kundusif bagi masyarkat kota melalui penin… https://t.co/BTkFwyDu6W",
19,AAE132,in,2020-10-23 09:00:00,0,0,"#BobbyAuliaYess 
Dukungan Terus Mengalir Dari Berbagai Pihak Menjelang PILKADA 9 Des' 2020 Nanti Kepada Pasangan Bo… https://t.co/jAdI0yXnQ1",
20,CADAS131,in,2020-10-23 09:00:00,0,0,"#BobbyAuliaYess 
Dukungan Terus Mengalir Dari Berbagai Pihak Menjelang PILKADA 9 Des' 2020 Nanti Kepada Pasangan Bo… https://t.co/CEOTe5uVF4",
21,Mbalelo_Ireng,in,2020-10-23 09:00:00,0,0,Kalian inget gak slogan 02 kek mirip wow yah..tapi ini bukan wowo yah ini tuh angak paslon buat bang boby dan bang… https://t.co/ZUCZ4JS7mw,"Samudragarh, India"
22,HUJAN131,in,2020-10-23 09:00:00,0,0,"#BobbyAuliaYess 
Dukungan Terus Mengalir Dari Berbagai Pihak Menjelang PILKADA 9 Des' 2020 Nanti Kepada Pasangan Bo… https://t.co/tMPtX4bDZL",
