,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,AbellineB,in,2020-10-23 08:40:08,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 6. https://t.co/go3OKkqMf2,"Tuscany, Amsterdam, Denpasar"
1,AbellineB,in,2020-10-23 08:39:20,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 5. https://t.co/V9d6l3EDMD,"Tuscany, Amsterdam, Denpasar"
2,hiereeen,in,2020-10-23 03:40:20,1,0,"Banyak sekali usulan yang disampaikan saat Gibran bersilaturahmi dengan warga Rejosari RW 8.

Coblos No. 1 Gibran -… https://t.co/n3pX6g7u9V","Solo, Jawa Tengah, Indonesia"
3,Putri95434348,in,2020-10-23 02:28:25,1,0,"Gibran-Teguh, Lahir Dari Masyarakat, Berjuang Dan Mengabdi Untuk Rakyat

#GibranTeguhMenang92%
#PDIPerjuangan… https://t.co/QKwKfnq29A",
4,tribunsolocom,in,2020-10-23 02:25:30,0,0,"Sandiaga Uno Masih Tunggu Restu DPP, DPC Gerindra Solo Sasar Tokoh Lokal Jadi Jurkam Gibran-Teguh https://t.co/t9ISj1pEp9","Karanganyar, Jawa Tengah"
5,AbellineB,in,2020-10-22 07:45:46,0,0,ANIS MATTA Serukan Dukung GIBRAN-TEGUH Di Pilkada Solo. https://t.co/e8u5tyq1oT,"Tuscany, Amsterdam, Denpasar"
6,AbellineB,in,2020-10-22 07:45:05,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 4. https://t.co/5M3h96gVk3,"Tuscany, Amsterdam, Denpasar"
7,LaingenLisa,in,2020-10-22 07:44:37,0,1,"RT @AbellineB: Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 5. https://t.co/AXo5ZW0ctX",Bekasi-Jawa Barat-Indonesia
8,AbellineB,in,2020-10-22 07:44:23,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 3. https://t.co/URXvuC7Xbj,"Tuscany, Amsterdam, Denpasar"
9,AbellineB,in,2020-10-22 07:43:45,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 2. https://t.co/K090RO33Mt,"Tuscany, Amsterdam, Denpasar"
10,AbellineB,in,2020-10-22 07:43:07,0,0,Gibran-Teguh Siap Kampanye Blusukan Online. Part 1. https://t.co/qODGPjICsR,"Tuscany, Amsterdam, Denpasar"
11,AbellineB,in,2020-10-22 07:42:28,1,1,"Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 5. https://t.co/AXo5ZW0ctX","Tuscany, Amsterdam, Denpasar"
12,AbellineB,in,2020-10-22 07:41:41,0,0,"Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 4. https://t.co/qOjFu5UIeT","Tuscany, Amsterdam, Denpasar"
13,AbellineB,in,2020-10-22 07:41:00,0,0,"Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 3. https://t.co/II2FJCnXxR","Tuscany, Amsterdam, Denpasar"
14,AbellineB,in,2020-10-22 07:39:50,0,0,"Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 2. https://t.co/tv8DvkiSZX","Tuscany, Amsterdam, Denpasar"
15,AbellineB,in,2020-10-22 07:39:05,0,0,"Didukung PKPI, Gibran-Teguh Mengapresiasi: “Ini Tambahan Kekuatan Bagi Kami!” Part 1. https://t.co/tizyLlzkTy","Tuscany, Amsterdam, Denpasar"
16,AndyCradle,in,2020-10-22 03:52:22,0,1,"RT @geloraco: Warga Solo Kaget, Istri Pemilik Posko Relawan Gibran-Teguh Tewas
https://t.co/37FlMLpGhv",
17,hiereeen,in,2020-10-22 03:11:44,0,0,"Hai....saudara-saudara jangan lupa ya pilih Gibran - Teguh.
Pemimpin masa depan kota Solo https://t.co/bojqOofcBg","Solo, Jawa Tengah, Indonesia"
18,Abebishilite,in,2020-10-22 01:59:09,3,0,@LintangTerakhir Dukung Gibran - Teguh 👍,Indonesia
19,geloraco,in,2020-10-22 01:00:16,15,1,"Warga Solo Kaget, Istri Pemilik Posko Relawan Gibran-Teguh Tewas
https://t.co/37FlMLpGhv",Indonesia
20,detikcom,in,2020-10-21 18:20:09,16,0,Gibran-Teguh dan Bajo saling beradu visi misi dan program kerja. Apa saja janji-janji mereka? #Pilkada2020 #Solo https://t.co/F9OIb8kuTA,"Jakarta, Indonesia"
21,papaklepoonzzz1,in,2020-10-21 15:06:09,0,5,"RT @kumparan: Meninggalnya dengan tragis menimpa Yulia (42) membuat warga Baluwarti, Solo, terkejut. Pasalnya, rumah duka di kampung itu, s…",
22,Bluendier_mayer,in,2020-10-21 14:54:04,0,5,"RT @kumparan: Meninggalnya dengan tragis menimpa Yulia (42) membuat warga Baluwarti, Solo, terkejut. Pasalnya, rumah duka di kampung itu, s…","Bogor Selatan, Indonesia"
23,Abebishilite,in,2020-10-21 11:31:16,0,0,"@M_fajar7 Dukung Gibran-Teguh 
Coblos no 1",Indonesia
24,LintangTerakhir,in,2020-10-21 11:05:03,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…",Indonesia
25,Hasta_Saputra,in,2020-10-21 10:24:30,0,5,"RT @kumparan: Meninggalnya dengan tragis menimpa Yulia (42) membuat warga Baluwarti, Solo, terkejut. Pasalnya, rumah duka di kampung itu, s…",Yogyakarta
26,axdwin,in,2020-10-21 10:22:46,0,5,"RT @kumparan: Meninggalnya dengan tragis menimpa Yulia (42) membuat warga Baluwarti, Solo, terkejut. Pasalnya, rumah duka di kampung itu, s…",Jakarta Indonesia
27,kumparan,in,2020-10-21 10:21:33,10,5,"Meninggalnya dengan tragis menimpa Yulia (42) membuat warga Baluwarti, Solo, terkejut. Pasalnya, rumah duka di kamp… https://t.co/KoIGCA8gbg",
28,hiereeen,in,2020-10-21 09:35:53,0,0,"Memang kreatif....
Maju terus Gibran - Teguh https://t.co/nNuxxANM29","Solo, Jawa Tengah, Indonesia"
29,Putri95434348,in,2020-10-21 06:24:01,1,0,"Kampanye Secara Virtual Cara Gibran-Teguh Menjangkau Warga Di Tengah Pandemi

#GibranTeguhMenang92%
#PDIPerjuangan… https://t.co/T6UVXWiwef",
30,Bint4ng211,in,2020-10-21 03:39:38,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…","Surakarta, Jawa Tengah"
31,riea_gichu,in,2020-10-21 03:27:00,0,2,"RT @Bint4ng211: Pagi Solo
Tetap jaga kesehatan yaa dan patuhi prokes!
Kali ini Mas Bin mau woro-woro
Mas Gibran tak hanya muda dan berjiwa…",Indonesia
32,riea_gichu,in,2020-10-21 03:22:11,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…",Indonesia
33,M_fajar7,in,2020-10-21 03:19:49,0,0,"Kampanye yang efektif, semua aman.
Maju terus Gibran dan Teguh https://t.co/En1o8ePbIg","Surakarta, Indonesia"
34,Abebishilite,in,2020-10-21 02:57:42,0,2,"RT @Bint4ng211: Pagi Solo
Tetap jaga kesehatan yaa dan patuhi prokes!
Kali ini Mas Bin mau woro-woro
Mas Gibran tak hanya muda dan berjiwa…",Indonesia
35,M_fajar7,in,2020-10-21 02:57:29,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…","Surakarta, Indonesia"
36,Jony_Ranau,in,2020-10-21 02:45:58,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…","DKI Jakarta, Indonesia"
37,BagusJapah,in,2020-10-21 02:33:11,0,9,"RT @Abebishilite: Salah satu visi misi Gibran - Teguh
Penyederhanaan birokrasi dalam pelayanan publik agar kebijakan dapat di putuskan deng…","Jawa Tengah, Indonesia"
38,Bint4ng211,in,2020-10-21 02:32:54,0,0,"Gebrakan kampanye dimasa pandemi adalah dengan Virtual Box,
Metode virtual campaign ini kreatif banget, tetap menya… https://t.co/54Infaw6ML","Surakarta, Jawa Tengah"
