,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,smilesugie,in,10/2/2020 23:46,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,dimasrahmat9,in,10/2/2020 23:34,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
2,ninozuke,in,10/2/2020 23:32,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
3,hgberry,in,10/2/2020 23:17,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
4,Isni_J_Embut,in,10/2/2020 23:10,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
5,ManaoFlorius,in,10/2/2020 22:14,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Teluk Dalam, Indonesia"
6,kal_wew,in,10/2/2020 22:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",lare Gunung lare Kemaki 💯%
7,zefry1974,in,10/2/2020 22:06,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",tangerang
8,Khoir_Muhammad,in,10/2/2020 21:57,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
9,LRahmadsyahJ2P,in,10/2/2020 21:38,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tangerang, Indonesia"
10,romadistabat,in,10/2/2020 21:14,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
11,jon_ketek,in,10/2/2020 20:52,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
12,marojahanpanja2,in,10/2/2020 20:39,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
13,77bayoe,in,10/2/2020 19:26,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jakarta Capital Region
14,agnizar4,in,10/2/2020 18:54,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tulungagung, Indonesia"
15,Quartor4,in,10/2/2020 18:33,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Lampung
16,govindatayataya,in,10/2/2020 18:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jakarta Capital Region, Indone"
17,itokomar,in,10/2/2020 17:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia bagian barat
18,Back_cool_Tempe,in,10/2/2020 16:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Tegal
19,i_Pras,in,10/2/2020 16:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","ÜT: -5.34434,104.98631"
20,ayassipenk1,in,10/2/2020 16:47,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",java
21,kondekturbus_,in,10/2/2020 16:41,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jabodetabek
22,Falah_Riedl,in,10/2/2020 16:27,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Bjm-Mlg-Turkey-Germany
23,yoris_ab,in,10/2/2020 16:24,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
24,Iyink7,in,10/2/2020 16:09,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kudus, Indonesia"
25,santosonya_saja,in,10/2/2020 15:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
26,Madun281,in,10/2/2020 15:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Pati, Indonesia"
27,ryanxyz,in,10/2/2020 14:53,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
28,PekikMenoreh,in,10/2/2020 14:48,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Yogyakarta
29,GedeKerto,in,10/2/2020 14:45,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Luwu Timur, Sulawesi Selatan"
30,BiemLugiek,in,10/2/2020 14:33,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kota Surabaya, Jawa Timur"
31,SelaMetAll,in,10/2/2020 14:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
32,bonn_sam,in,10/2/2020 14:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tambora, Indonesia"
33,gusnur212,in,10/2/2020 14:15,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",depok-jakarta-jogya
34,dir1ku,in,10/2/2020 14:04,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Malang
35,mahesaandien,in,10/2/2020 14:01,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
36,EsJorong,in,10/2/2020 13:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jorong, Kalsel"
37,pakdhe_wae,in,10/2/2020 13:55,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
38,Panca252,in,10/2/2020 13:48,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
39,BedheR82,in,10/2/2020 13:43,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
40,BukanKancil,in,10/2/2020 13:25,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","DKI Jakarta, Indonesia"
41,AnakLolina2,in,10/2/2020 13:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
42,bersatulahnkri,in,10/2/2020 13:16,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jabotabek
43,Udien_Marbot,in,10/2/2020 13:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kota Pekalongan, Jawa Tengah"
44,amrudinnejad_,in,10/2/2020 13:11,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
45,bffb300aff02425,in,10/2/2020 13:07,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
46,private_forex,in,10/2/2020 13:03,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
47,AimanJudakusum1,in,10/2/2020 13:03,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
48,AgungWidrajat,in,10/2/2020 12:57,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Our Earth
49,BorneoPasundan,in,10/2/2020 12:54,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
50,AmiiPoerwa,in,10/2/2020 12:51,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
