,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,ariefzaafril,in,2020-10-06 13:17:11,0,0,Iki nek sampek Bpk Bagyo Wahyono &amp; FX Supardjo ora menang yo kebangeten.. https://t.co/AB4EQRl6Dy,"Kota Surabaya, Jawa Timur"
1,iythaiytha,in,2020-10-05 15:22:05,0,4,RT @detikcom: Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Baj…,
2,TomAsyari2010,in,2020-10-05 15:06:49,0,4,RT @detikcom: Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Baj…,Jakarta-Karawang (Indonesia)
3,detikcom,in,2020-10-05 15:00:06,13,4,Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Sup… https://t.co/4WFuU6Lm70,"Jakarta, Indonesia"
4,kumparan,in,2020-10-05 08:31:33,2,0,Mengapa Alat Peraga Kampanye (APK) Gibran-Teguh dan Bagyo-Supardjo dianggap melanggar aturan oleh Bawaslu? https://t.co/u1VBmKvZrK,
5,Reee_bahan,in,2020-10-05 02:41:02,0,3,"RT @SRawuhh: Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independen, Bagyo W…",K A M A R 
6,KangDonat3,in,2020-10-05 02:04:26,0,3,"RT @SRawuhh: Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independen, Bagyo W…",
7,SRawuhh,in,2020-10-05 00:30:00,3,3,"Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independ… https://t.co/Lh32m4pG8W",
8,NewsPresisi,in,2020-10-04 08:11:36,0,0,"Nasdem sudah merepat semua,"" sebut Gibran.

Pada Pilkada Solo, pasangan Gibran-Teguh akan melawan pasangan jalur in… https://t.co/7LmcJ7roB4",
9,Joko_Why,in,2020-10-02 09:37:37,0,0,"@Rikiandre8 @bolangwebberII @ustadtengkuzul Udah baca ini belom blog? 
https://t.co/KxOCLH88Pj","Rajadell, España"
