,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,My__Alter,in,2020-10-09 13:59:11,0,3,"RT @materazzi89: kota medan sangat pas di pimpin oleh pemimpin mudah dan santun..
jawabanya jelas dong ada di bang Boby dan Bang Aulia.
sem…",
1,Boyzneboyzone,in,2020-10-09 12:22:16,0,3,"RT @materazzi89: kota medan sangat pas di pimpin oleh pemimpin mudah dan santun..
jawabanya jelas dong ada di bang Boby dan Bang Aulia.
sem…",north sumatra
2,AruanPrada,in,2020-10-09 12:21:14,0,1,"RT @TobingDoly: Mereka pikir Pemko Medan itu punya ompungnya kali ya..🙄🙈

#KawanPilihanMedan 

Boby-Aulia: Muncul Spanduk Akhyar-Salman Ber…",
3,SabarNdasmu,in,2020-10-09 12:09:51,0,3,"RT @materazzi89: kota medan sangat pas di pimpin oleh pemimpin mudah dan santun..
jawabanya jelas dong ada di bang Boby dan Bang Aulia.
sem…","Medan Kota, Indonesia"
4,ANGIN131,in,2020-10-09 11:52:29,1,1,Medan berbenah bersama Boby-Aulia Putra Medan Asli #KawanPilihanMedan https://t.co/ul6ZHiduf7,
5,TobingDoly,in,2020-10-09 11:36:10,1,1,"Mereka pikir Pemko Medan itu punya ompungnya kali ya..🙄🙈

#KawanPilihanMedan 

Boby-Aulia: Muncul Spanduk Akhyar-Sa… https://t.co/ISExiCUIKX","Bekasi, Jawa Barat"
6,TobingDoly,in,2020-10-09 11:34:06,0,0,"Mulai agak kasar permainannya nih..Ayo rapaykan barisan..👍👍

#KawanPilihanMedan

Boby-Aulia: Bawaslu Akan Proses Sp… https://t.co/FsYN73f4vq","Bekasi, Jawa Barat"
7,materazzi89,in,2020-10-09 11:31:31,5,3,"kota medan sangat pas di pimpin oleh pemimpin mudah dan santun..
jawabanya jelas dong ada di bang Boby dan Bang Aul… https://t.co/0uSflAxP3p",
8,LavanaSweet__,in,2020-10-08 13:35:50,0,20,"RT @ANGIN131: Kalau Hal Seperti Ini Saja Sudah Abai Selama 5 th Emang Mau 5 th Lagi Di Buat Kayak Beginiv
Udahlah Lupain Aja Tu Calon Perta…",
9,LaskarSakti,in,2020-10-08 13:34:44,0,20,"RT @ANGIN131: Kalau Hal Seperti Ini Saja Sudah Abai Selama 5 th Emang Mau 5 th Lagi Di Buat Kayak Beginiv
Udahlah Lupain Aja Tu Calon Perta…",
10,kuda_trojan,in,2020-10-08 13:30:41,0,20,"RT @ANGIN131: Kalau Hal Seperti Ini Saja Sudah Abai Selama 5 th Emang Mau 5 th Lagi Di Buat Kayak Beginiv
Udahlah Lupain Aja Tu Calon Perta…","Central Java, Indonesia"
11,Cigarilos5,in,2020-10-08 13:27:09,0,20,"RT @ANGIN131: Kalau Hal Seperti Ini Saja Sudah Abai Selama 5 th Emang Mau 5 th Lagi Di Buat Kayak Beginiv
Udahlah Lupain Aja Tu Calon Perta…","Denpasar Selatan, Indonesia"
