Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
1,Joko_Why,in,10/2/2020 9:37,0,0,"@Rikiandre8 @bolangwebberII @ustadtengkuzul Udah baca ini belom blog? 
https://t.co/KxOCLH88Pj","Rajadell, España"
1,megaa_amelia,in,10/2/2020 4:08,0,0,"Pria yang baru saja tampil di tayangan TV swasta, Rabu kemarin kalau bersama pasangan Teguh Prakosa bakal bertarung… https://t.co/SmMDj5ZO4w",
1,Yesaya9_5,in,9/30/2020 14:36,0,0,"@MataNajwa @TRANS7 #MataNajwa 
#MataNajwaBerebutTakhtadiTengahWabah 
TRANS7

Warga Solo pilih Bagyo Wahyono dan FX… https://t.co/2bGXUlK3ym",
1,WiKu58414131,in,9/29/2020 14:55,0,1,"RT @kumparan: Selain menggunakan metode kampanye online, kampanye secara door to door lebih cenderung fokus dilakukan oleh paslon Bajo guna…",Indonesia
1,kumparan,in,9/29/2020 14:49,7,1,"Selain menggunakan metode kampanye online, kampanye secara door to door lebih cenderung fokus dilakukan oleh paslon… https://t.co/Pw1vFglCj3",
1,Yesaya9_5,in,9/29/2020 10:16,0,0,Masyarakat Kota Solo yg anti politik dinasti sepakat dukung dannangkat Bagyo Wahyono dan Supardjo sbg wali kota Sol… https://t.co/sXKdNKmmWB,
1,kumparan,in,9/27/2020 11:37,6,0,"""Hari pertama kampanye sudah ada 2.000 rumah warga yang didatangi relawan. Hari ini (Minggu) ditargetkan 3.000 ruma… https://t.co/hJGikOFCK5",
1,kumparan,in,9/26/2020 15:54,8,0,"Berikut adalah bunyi deklarasi dan komitmen kedua pasangan calon, baik Gibran-Teguh dan Bagyo-Supardjo dalam Pilwal… https://t.co/i2Kbqe3Wij",
1,Genpi_Co,in,9/26/2020 13:22,0,0,Pasangan calon Bagyo Wahyono-FX Supardjo alias BaJo mengaku akan menyulap Solo sebagai Kota Megapolitan… https://t.co/mZB5S1tKDj,Indonesia
1,okezonenews,in,9/26/2020 9:11,1,0,"Pilkada Solo 2020, Gibran-Teguh dan Bagyo-Supardjo Komitmen Kampanye Taati Protokol Kesehatan #TauCepatTanpaBatas… https://t.co/VKfNypbCrH",Jakarta
2,ariefzaafril,in,10/6/2020 13:17,0,0,Iki nek sampek Bpk Bagyo Wahyono &amp; FX Supardjo ora menang yo kebangeten.. https://t.co/AB4EQRl6Dy,"Kota Surabaya, Jawa Timur"
2,iythaiytha,in,10/5/2020 15:22,0,4,RT @detikcom: Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Baj…,
2,TomAsyari2010,in,10/5/2020 15:06,0,4,RT @detikcom: Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Baj…,Jakarta-Karawang (Indonesia)
2,detikcom,in,10/5/2020 15:00,13,4,Bawaslu Solo meminta Satpol PP mencopot APK bergambar Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Sup… https://t.co/4WFuU6Lm70,"Jakarta, Indonesia"
2,kumparan,in,10/5/2020 8:31,2,0,Mengapa Alat Peraga Kampanye (APK) Gibran-Teguh dan Bagyo-Supardjo dianggap melanggar aturan oleh Bawaslu? https://t.co/u1VBmKvZrK,
2,Reee_bahan,in,10/5/2020 2:41,0,3,"RT @SRawuhh: Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independen, Bagyo W…",K A M A R 
2,KangDonat3,in,10/5/2020 2:04,0,3,"RT @SRawuhh: Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independen, Bagyo W…",
2,SRawuhh,in,10/5/2020 0:30,3,3,"Gibran, putra sulung Presiden Joko Widodo, berpasangan dengan Teguh Prakoso di Pilkada Solo melawan paslon independ… https://t.co/Lh32m4pG8W",
2,NewsPresisi,in,10/4/2020 8:11,0,0,"Nasdem sudah merepat semua,"" sebut Gibran.

Pada Pilkada Solo, pasangan Gibran-Teguh akan melawan pasangan jalur in… https://t.co/7LmcJ7roB4",
2,Joko_Why,in,10/2/2020 9:37,0,0,"@Rikiandre8 @bolangwebberII @ustadtengkuzul Udah baca ini belom blog? 
https://t.co/KxOCLH88Pj","Rajadell, España"
3,arselalrasyid,tl,10/15/2020 5:35,0,0,@mIubgt Bangyo -- bagyo -- bagyo supardjo,
4,SugiartiAhmad,in,10/20/2020 11:20,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,rembulaannn,in,10/20/2020 11:16,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,AristonoH,in,10/20/2020 11:05,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,denni_sauya,in,10/20/2020 10:30,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",di awan biruuu
4,denni_loyz,in,10/20/2020 9:04,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Tangerang, Indonesia"
4,wanarista,in,10/20/2020 7:04,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,PlatAB4NG,in,10/20/2020 6:54,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,AristonoHerawan,in,10/20/2020 6:49,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,qiunco2761,in,10/20/2020 5:33,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,Vaneeya_C,in,10/20/2020 5:17,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,LimsoNan1,in,10/20/2020 4:08,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Korea,Soul Selatan"
4,Eg3epXuu8Aa3R1l,in,10/20/2020 4:04,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Manchester United, Pyongyang"
4,Parkjoyoung6,in,10/20/2020 3:58,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Soul,Korea"
4,Andraklaten,in,10/20/2020 3:54,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,BoomMpy,in,10/20/2020 3:50,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,AriestaRiico_,in,10/20/2020 3:48,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Bhinneka Tunggal Ika 
4,SyahRungAn,in,10/20/2020 3:41,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,seruanhl,in,10/20/2020 3:40,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Indonesia
4,Aryprasetyo85,in,10/20/2020 3:36,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Jakarta Pusat, DKI Jakarta"
4,JendIsMyName__,in,10/20/2020 3:34,23,22,"#PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka -… https://t.co/Rz9RCsXfQI",Republik Indonesia 🇮🇩
4,radarmasnetwork,in,10/19/2020 7:19,0,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/XlwD19Q1sH,"Banyumas, Central Java"
4,jawapos,in,10/19/2020 6:59,1,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/i3fKRmjj2O,"Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
4,EBRoestono,in,10/17/2020 14:36,0,1,"RT @SuwandaBen: Dukungan Pasangan independen di Pilkada Solo Bagyo Wahyono dan FX Supardjo (Bajo) mulai mengalir
1. Para Purnawirawan Pejua…",Indonesia
4,SuwandaBen,in,10/17/2020 14:17,1,1,"Dukungan Pasangan independen di Pilkada Solo Bagyo Wahyono dan FX Supardjo (Bajo) mulai mengalir
1. Para Purnawiraw… https://t.co/7d0vMkns1T",
4,JarrFajarr_,in,10/17/2020 7:32,0,0,"APK Diturunkan Satpol PP Solo, Bagyo-Supardjo Ngaku Tak Masalah: Pihak Sebelah Juga Ditertibkan https://t.co/W83zLxNlqT","Sukoharjo, Indonesia"
