,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,jawapos,in,2020-09-25 03:01:40,1,0,"Gibran-Teguh 1, Bagyo-Supardjo 2, Sama-sama Yakin Menang Pilkada Solo https://t.co/FMg0IUXr8g","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
1,JoniArizal1,in,2020-09-24 20:59:33,0,3,RT @detikcom: Dua pasangan calon (paslon) Pilkada Solo mengikuti tahapan pengundian nomor urut. Gibran Rakabuming Raka-Teguh Prakosa mendap…,
2,detikcom,in,2020-09-24 19:50:51,7,3,Dua pasangan calon (paslon) Pilkada Solo mengikuti tahapan pengundian nomor urut. Gibran Rakabuming Raka-Teguh Prak… https://t.co/OMWTVs8Ohc,"Jakarta, Indonesia"
3,StalistS,in,2020-09-24 19:48:19,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
4,jawapos,in,2020-09-24 14:20:58,3,0,"Gibran-Teguh 1, Bagyo-Supardjo 2, Sama-Sama Pede Menang Pilkada Solo https://t.co/CVShWTfNmc","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
5,Reee_bahan,in,2020-09-24 14:10:13,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",K A M A R 
6,Mbalelo_Ireng,in,2020-09-24 14:07:24,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…","Samudragarh, India"
7,Mbemz_Blank,in,2020-09-24 13:35:28,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",Berpijak di Bumi
8,Sigar_Untumu,in,2020-09-24 13:32:16,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…","Alabama, USA"
9,_Umamlik,in,2020-09-24 13:25:39,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",
10,LahAkuKenapa,in,2020-09-24 13:17:16,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",I N D O N E S I A
11,L0v3D0lph1n,in,2020-09-24 13:15:26,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",Ride with the wave
12,myCaffe0,in,2020-09-24 13:12:42,11,7,"Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyi… https://t.co/px9GHlBQYo",jembatan shirotol mustaqim
