Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
1,smilesugie,in,10/2/2020 23:46,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,dimasrahmat9,in,10/2/2020 23:34,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,ninozuke,in,10/2/2020 23:32,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,hgberry,in,10/2/2020 23:17,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,Isni_J_Embut,in,10/2/2020 23:10,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,ManaoFlorius,in,10/2/2020 22:14,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Teluk Dalam, Indonesia"
1,kal_wew,in,10/2/2020 22:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",lare Gunung lare Kemaki 💯%
1,zefry1974,in,10/2/2020 22:06,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",tangerang
1,Khoir_Muhammad,in,10/2/2020 21:57,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,LRahmadsyahJ2P,in,10/2/2020 21:38,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tangerang, Indonesia"
1,romadistabat,in,10/2/2020 21:14,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,jon_ketek,in,10/2/2020 20:52,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,marojahanpanja2,in,10/2/2020 20:39,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,77bayoe,in,10/2/2020 19:26,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jakarta Capital Region
1,agnizar4,in,10/2/2020 18:54,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tulungagung, Indonesia"
1,Quartor4,in,10/2/2020 18:33,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Lampung
1,govindatayataya,in,10/2/2020 18:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jakarta Capital Region, Indone"
1,itokomar,in,10/2/2020 17:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia bagian barat
1,Back_cool_Tempe,in,10/2/2020 16:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Tegal
1,i_Pras,in,10/2/2020 16:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","ÜT: -5.34434,104.98631"
1,ayassipenk1,in,10/2/2020 16:47,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",java
1,kondekturbus_,in,10/2/2020 16:41,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jabodetabek
1,Falah_Riedl,in,10/2/2020 16:27,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Bjm-Mlg-Turkey-Germany
1,yoris_ab,in,10/2/2020 16:24,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,Iyink7,in,10/2/2020 16:09,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kudus, Indonesia"
1,santosonya_saja,in,10/2/2020 15:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,Madun281,in,10/2/2020 15:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Pati, Indonesia"
1,ryanxyz,in,10/2/2020 14:53,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,PekikMenoreh,in,10/2/2020 14:48,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Yogyakarta
1,GedeKerto,in,10/2/2020 14:45,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Luwu Timur, Sulawesi Selatan"
1,BiemLugiek,in,10/2/2020 14:33,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kota Surabaya, Jawa Timur"
1,SelaMetAll,in,10/2/2020 14:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,bonn_sam,in,10/2/2020 14:22,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Tambora, Indonesia"
1,gusnur212,in,10/2/2020 14:15,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",depok-jakarta-jogya
1,dir1ku,in,10/2/2020 14:04,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Malang
1,mahesaandien,in,10/2/2020 14:01,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,EsJorong,in,10/2/2020 13:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jorong, Kalsel"
1,pakdhe_wae,in,10/2/2020 13:55,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,Panca252,in,10/2/2020 13:48,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,BedheR82,in,10/2/2020 13:43,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,BukanKancil,in,10/2/2020 13:25,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","DKI Jakarta, Indonesia"
1,AnakLolina2,in,10/2/2020 13:20,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,bersatulahnkri,in,10/2/2020 13:16,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Jabotabek
1,Udien_Marbot,in,10/2/2020 13:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Kota Pekalongan, Jawa Tengah"
1,amrudinnejad_,in,10/2/2020 13:11,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,bffb300aff02425,in,10/2/2020 13:07,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,private_forex,in,10/2/2020 13:03,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,AimanJudakusum1,in,10/2/2020 13:03,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,AgungWidrajat,in,10/2/2020 12:57,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Our Earth
1,BorneoPasundan,in,10/2/2020 12:54,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,AmiiPoerwa,in,10/2/2020 12:51,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,rudyd3li,in,10/2/2020 12:46,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Bugisan, South Yogya"
1,AnakBabeGw,in,10/2/2020 12:45,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jl.Cendana,Gang Cikeas No. 212"
1,pejuangkhilaf,in,10/2/2020 12:31,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",yog
1,Widodo2017,in,10/2/2020 12:29,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Bogor
1,_ekopri,in,10/2/2020 12:26,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Bogor, Jawa Barat"
1,yudhiapriyadi,in,10/2/2020 12:23,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Bandung,Jawa Barat "
1,eqigaliano,in,10/2/2020 12:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,pengembarathamc,in,10/2/2020 12:13,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,DenmasBedj0,in,10/2/2020 12:12,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Planet Namec
1,Zainal_ikhwan24,in,10/2/2020 12:07,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,YoRa_yo_opo_ora,in,10/2/2020 12:05,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jakarta Selatan, DKI Jakarta"
1,moekartho,in,10/2/2020 12:04,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Comal Pemalang
1,RinjaniJB,in,10/2/2020 11:59,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",Indonesia
1,DarkLareine,in,10/2/2020 11:55,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…",
1,tahuisi1709,in,10/2/2020 11:51,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Medan Johor, Indonesia"
1,narkosun01,in,10/2/2020 11:50,0,71,"RT @narkosun: Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg bersebera…","Jakarta Capital Region, Indone"
1,narkosun,in,10/2/2020 11:49,563,71,"Buya????? 😂😂😂😂

Oh dia pendukung Akhyar calon walikota Medan. Ya sudah klo gitu saya dukung Boby Aulia. Pokoknya yg… https://t.co/xNndrmBaPa",Indonesia
1,Theking3231Juan,in,10/2/2020 6:42,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…","Sumatera Utara, Indonesia"
1,GabusR3b0Rn,in,10/2/2020 5:40,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",Swedia
1,gratias_15,in,10/2/2020 5:09,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…",
1,christyokee,in,10/2/2020 4:54,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",
1,espresso_kopii,in,10/2/2020 4:49,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…","Lampung, Indonesia"
1,Aprilaza9,in,10/2/2020 4:43,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…","Negeri Besar, Indonesia ❤️"
1,ArtOfpol,in,10/2/2020 4:40,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…",
1,bicrosser,in,10/2/2020 4:32,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",
1,jennydewi81,in,10/2/2020 4:25,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…",
1,dewi_aruni,in,10/2/2020 4:23,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…",
1,febioashari,in,10/2/2020 4:22,0,49,"RT @Lima8Satu: Jadi mohon maaf kami kalau belum ada ikon selama ini, karena memang fokusnya dalam perawatan jalan-jalan di kota Medan, Kata…",Negeri Tercinta INDONESIA
1,dewi_aruni,in,10/2/2020 4:21,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",
1,GalehJati5,in,10/2/2020 4:21,0,37,"RT @Lima8Satu: Taman yang dulu begitu Indah sekarang jadi taman Enceng gondok. 
Ckckck

Kita butuh pemimpin yang bisa memelihara dan berino…","Yogyakarta, Indonesia"
1,febioashari,in,10/2/2020 4:20,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",Negeri Tercinta INDONESIA
1,jennydewi81,in,10/2/2020 4:19,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",
1,arjuno_ireng01,in,10/2/2020 4:16,0,37,"RT @Lima8Satu: Taman yang dulu begitu Indah sekarang jadi taman Enceng gondok. 
Ckckck

Kita butuh pemimpin yang bisa memelihara dan berino…",Indonesia
1,_tripleN,in,10/2/2020 4:12,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",
1,FireBirdFeniks,in,10/2/2020 4:10,0,37,"RT @Lima8Satu: Taman yang dulu begitu Indah sekarang jadi taman Enceng gondok. 
Ckckck

Kita butuh pemimpin yang bisa memelihara dan berino…",
1,_ngedotcom_,in,10/2/2020 4:09,0,62,"RT @Je_Ly: Keren nih.

Partai Gelora  bang @Fahrihamzah dukung penuh Bobby-Aulia maju sbg pemimpin Medan. 👍

Kali ini saya padamu bang 😁
Sm…",Jakarta
