Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
1,kompascom,in,10/2/2020 22:49,4,0,"Populer nusantara antara lain konlik antara Kapolres Blitar dengan Kasat Sabhara. Sementara di Solo, Sandiaga ipersâ€¦ https://t.co/axdnesh2Yo",Indonesia
1,zefry1974,in,10/2/2020 22:16,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",tangerang
1,CiciFaridaz,in,10/2/2020 21:51,0,10,"RT @OposisiCerdas: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/ReLKQnvlVg",
1,DJSoemaskaro2,in,10/2/2020 21:38,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",TWL
1,_MasAiman_,in,10/2/2020 20:43,0,0,"~Ninggal Tatu~

Kowe tak sayang-sayang saiki malah ngilang' ðŸŽ¶
Tresnamu karo aku, kuwi mung kiasanðŸŽ¶
Kowe tak gadhangâ€¦ https://t.co/KI4KrlU8x8","Bandung, Jawa Barat"
1,endanghidayat,in,10/2/2020 19:31,0,4,"RT @Kanseulir: Sandi Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi.

Perjuangan Bapak Perbaiki Martabak Anakâ€¦",Jakarta
1,wansenk_ajah,in,10/2/2020 18:40,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Lembur Kuring
1,cristantodn666,in,10/2/2020 18:13,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Kost Putri
1,mitra_ojol,in,10/2/2020 18:09,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Jabodetabek
1,Gacho09756840,in,10/2/2020 15:45,0,4,"RT @Kanseulir: Sandi Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi.

Perjuangan Bapak Perbaiki Martabak Anakâ€¦",Padang mahsyar
1,videl58530077,in,10/2/2020 15:37,0,4,"RT @Kanseulir: Sandi Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi.

Perjuangan Bapak Perbaiki Martabak Anakâ€¦",
