,screen_name,lang,created_at,fav_count,retweet_count,text,location
0,idntimes,in,2020-09-25 03:40:32,0,0,Pengambilan nomer urut paslon Pilkada Solo #idntimesjateng https://t.co/2eJsyIdezv,
1,SonoraFM92,in,2020-09-25 03:31:04,0,0,"10.30 #BeritaSONORA - Pengundian Nomor Urut Peserta Pilkada 2020, Gibran-Teguh Dapat Nomor Urut 1… https://t.co/QNBKQ8fDZW","Jakarta Barat, DKI Jakarta"
2,joe_bon_two,in,2020-09-25 03:28:50,0,1,"RT @KompasTV: Pengundian Nomor Urut Peserta Pilkada 2020, Gibran-Teguh Dapat Nomor Urut 1 https://t.co/jJxPbptSvE https://t.co/lHhsJuJom9",Indonesia West Java
3,KompasTV,in,2020-09-25 03:28:32,2,1,"Pengundian Nomor Urut Peserta Pilkada 2020, Gibran-Teguh Dapat Nomor Urut 1 https://t.co/jJxPbptSvE https://t.co/lHhsJuJom9",Indonesia
4,jawapos,in,2020-09-25 03:01:40,1,0,"Gibran-Teguh 1, Bagyo-Supardjo 2, Sama-sama Yakin Menang Pilkada Solo https://t.co/FMg0IUXr8g","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
5,rudy_susana,in,2020-09-25 02:34:27,0,5,"RT @PDI_Perjuangan: Resmi Ditetapkan KPU Kota Surakarta Dengan Nomor Urut 1, Gibran-Teguh Yakin Bakal Meraih Kemenangan

https://t.co/v8ibo…",
6,dodi_ahmad07,in,2020-09-25 02:15:25,0,5,"RT @PDI_Perjuangan: Resmi Ditetapkan KPU Kota Surakarta Dengan Nomor Urut 1, Gibran-Teguh Yakin Bakal Meraih Kemenangan

https://t.co/v8ibo…","Bogor,West Java in indonesia"
7,GATRA_com,in,2020-09-25 01:42:08,0,0,"Pilkada Solo: Gibran-Teguh Dapat Nomor 1, Bajo 2 https://t.co/dJKAZoZswc","Jakarta, Indonesia"
8,syaripali,in,2020-09-25 01:24:42,0,5,"RT @PDI_Perjuangan: Resmi Ditetapkan KPU Kota Surakarta Dengan Nomor Urut 1, Gibran-Teguh Yakin Bakal Meraih Kemenangan

https://t.co/v8ibo…","Sarolangun,Jambi,Indonesia"
9,PDI_Perjuangan,in,2020-09-25 01:22:40,20,5,"Resmi Ditetapkan KPU Kota Surakarta Dengan Nomor Urut 1, Gibran-Teguh Yakin Bakal Meraih Kemenangan… https://t.co/Vpi2FU4i3E",Indonesia
10,indahinsol_,in,2020-09-25 00:28:57,0,0,calon walikota solo tuh emang gibran teguh doang? aku ga pernah liat baliho atau spanduk lawannya di sepanjang jala… https://t.co/3POCnFYIXX,
