Utama,Penunjang_1,Penunjang_2
" 5,095,558 "," 4,395,204 "," 700,354 "
" 5,375,441 "," 4,752,897 "," 622,544 "
" 5,777,612 "," 4,843,026 "," 934,586 "
" 6,038,850 "," 5,363,022 "," 675,828 "
" 6,450,814 "," 5,757,283 "," 693,531 "
" 6,663,539 "," 5,956,310 "," 707,229 "
" 6,924,211 "," 6,209,565 "," 714,646 "
" 6,833,446 "," 5,994,276 "," 839,170 "
" 8,411,851 "," 7,885,594 "," 526,257 "
" 8,295,364 "," 7,531,691 "," 763,673 "
" 9,394,950 "," 8,472,550 "," 922,400 "
" 9,041,402 "," 8,048,369 "," 993,033 "
" 10,336,522 "," 9,245,135 "," 1,091,387 "
" 9,792,334 "," 8,759,520 "," 1,032,814 "
" 11,869,729 "," 10,586,242 "," 1,283,487 "
" 11,515,116 "," 10,210,481 "," 1,304,635 "
" 12,690,859 "," 11,179,244 "," 1,511,615 "
" 13,122,608 "," 11,654,553 "," 1,468,055 "
" 13,597,543 "," 12,197,090 "," 1,400,453 "
" 13,700,850 "," 11,941,078 "," 1,759,772 "
" 14,558,572 "," 12,502,087 "," 2,056,485 "
" 14,795,153 "," 12,382,703 "," 2,412,450 "
" 15,205,583 "," 13,452,926 "," 1,752,657 "
