var 1,var 2,var 3,var 4,var 5,var 6,var 7,var 8,Cluster
-0.33831,3.389417,0.919354,0.32167,-0.26517,0.709874,-0.88535,0.872531,2
-0.33831,2.953551,-1.08529,0.32167,-0.26517,0.709874,-1.04227,0.872531,2
-0.33831,-0.53337,-1.08529,0.32167,-0.26517,0.709874,-1.19918,0.872531,2
-0.33831,0.774222,-1.08529,0.32167,-0.90589,0.709874,-0.57151,0.872531,2
-0.33831,0.338357,0.919354,0.32167,-0.90589,0.709874,-0.72843,0.872531,0
2.949218,2.517685,0.919354,0.32167,-0.90589,0.709874,-0.41459,0.872531,2
-0.33831,0.338357,-1.08529,0.32167,-0.90589,0.709874,-1.19918,0.872531,2
-0.33831,2.517685,-1.08529,0.32167,1.656975,0.709874,-0.25767,-0.59925,2
-0.33831,0.774222,-1.08529,0.32167,1.016259,0.709874,-0.10075,-0.59925,2
-0.33831,2.517685,-1.08529,0.32167,-0.90589,0.709874,0.056168,0.872531,2
-0.33831,1.645954,0.919354,0.32167,1.016259,0.709874,0.056168,0.872531,2
2.949218,-0.53337,-1.08529,0.32167,-0.90589,0.709874,-0.72843,0.872531,2
-0.33831,2.953551,0.919354,-3.10182,-0.90589,0.709874,-0.57151,0.872531,2
-0.33831,2.953551,-1.08529,-3.10182,1.016259,-1.40555,0.213087,-0.59925,2
-0.33831,2.08182,-1.08529,0.32167,1.016259,-1.40555,-0.25767,-0.59925,2
-0.33831,2.517685,-1.08529,0.32167,-0.90589,0.709874,0.370006,0.872531,2
-0.33831,2.953551,-1.08529,0.32167,0.375543,0.709874,-0.72843,0.872531,2
-0.33831,2.953551,-1.08529,0.32167,-0.26517,0.709874,-1.19918,-0.59925,2
-0.33831,2.08182,-1.08529,0.32167,1.016259,-1.40555,-0.72843,0.872531,2
2.949218,2.08182,-1.08529,0.32167,-0.90589,0.709874,-0.72843,0.872531,2
-0.33831,2.517685,-1.08529,0.32167,1.016259,-1.40555,0.526925,0.872531,2
-0.33831,0.338357,0.919354,0.32167,-0.90589,0.709874,0.683844,0.872531,0
-0.33831,2.953551,-1.08529,0.32167,-0.90589,0.709874,-0.57151,0.872531,2
2.949218,-0.96924,-1.08529,0.32167,1.016259,-1.40555,-1.19918,0.872531,2
-0.33831,2.953551,-1.08529,0.32167,-0.90589,0.709874,-0.88535,-0.59925,2
2.949218,-0.96924,0.919354,0.32167,-0.90589,0.709874,0.213087,-2.07103,2
-0.33831,2.953551,0.919354,0.32167,0.375543,0.709874,-0.25767,-0.59925,2
-0.33831,-0.53337,0.919354,0.32167,-0.90589,-1.40555,-0.10075,0.872531,0
-0.33831,2.953551,0.919354,0.32167,2.297692,0.709874,0.840763,0.872531,2
-0.33831,0.338357,0.919354,0.32167,-0.90589,0.709874,0.056168,0.872531,0
-0.33831,0.774222,0.919354,0.32167,-0.90589,-1.40555,0.526925,0.872531,0
-0.33831,1.210088,0.919354,0.32167,-0.90589,0.709874,-0.72843,0.872531,2
-0.33831,1.210088,-1.08529,0.32167,1.016259,-1.40555,0.997682,0.872531,2
-0.33831,-0.96924,0.919354,0.32167,0.375543,-1.40555,-1.19918,0.872531,0
-0.33831,1.645954,-1.08529,0.32167,-0.90589,0.709874,-0.72843,-0.59925,2
-0.33831,0.774222,-1.08529,0.32167,-0.90589,0.709874,0.213087,-0.59925,2
-0.33831,0.774222,0.919354,0.32167,0.375543,0.709874,0.056168,0.872531,2
-0.33831,0.338357,-1.08529,0.32167,1.016259,0.709874,-0.72843,0.872531,2
-0.33831,1.210088,0.919354,0.32167,-0.90589,0.709874,0.526925,0.872531,2
2.949218,0.774222,-1.08529,0.32167,1.016259,-1.40555,-0.25767,-0.59925,2
-0.33831,-0.53337,0.919354,0.32167,2.297692,0.709874,1.154601,0.872531,2
2.949218,0.774222,-1.08529,0.32167,-0.90589,0.709874,-0.72843,0.872531,2
2.949218,2.08182,0.919354,0.32167,-0.90589,0.709874,-0.88535,0.872531,2
-0.33831,1.210088,0.919354,0.32167,-0.90589,0.709874,-0.10075,-0.59925,2
-0.33831,-0.53337,0.919354,0.32167,-0.90589,0.709874,-0.72843,0.872531,0
-0.33831,2.517685,0.919354,0.32167,-0.90589,0.709874,1.31152,0.872531,2
-0.33831,-0.96924,-1.08529,0.32167,-0.90589,0.709874,-0.25767,-2.07103,1
-0.33831,2.08182,-1.08529,-3.10182,-0.90589,0.709874,0.370006,-0.59925,2
-0.33831,2.08182,-1.08529,-3.10182,-0.90589,0.709874,1.31152,0.872531,2
-0.33831,0.338357,0.919354,0.32167,-0.90589,0.709874,0.213087,0.872531,0
-0.33831,1.645954,-1.08529,0.32167,-0.90589,0.709874,-0.72843,-0.59925,2
-0.33831,1.210088,0.919354,0.32167,-0.90589,0.709874,-0.57151,-0.59925,2
-0.33831,0.774222,-1.08529,0.32167,1.016259,0.709874,-1.19918,-0.59925,2
2.949218,-0.53337,0.919354,-3.10182,1.016259,-1.40555,0.056168,-0.59925,2
